what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1429437642376
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1429437642377
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1429437642377
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1429437642377
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1429437642377
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1429437642377
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1429437642378
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1429437642392
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1429437642393
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1429437642394
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1429437642394
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1429437642394
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1429437642419
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1429437642420
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1429437642420
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1429437642420
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1429437642421
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1429437642421
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1429437642422
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1429437642422
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1429437642422
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1429437642422
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1429437642440
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1429437642440
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1429437642440
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1429437642441
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1429437642441
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1429437642441
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1429437642442
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1429437642442
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1429437642442
os,sysinfo,,,"win32",1429437642444
arch,sysinfo,,,"x86_64",1429437642444
ws,sysinfo,,,"win32",1429437642444
locale,sysinfo,,,"ko_KR",1429437642444
processors,sysinfo,,,"8",1429437642444
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429437642444
java.runtime.version,sysinfo,,,"1.8.0_40-b26",1429437642444
java.specification.name,sysinfo,,,"Java Platform API Specification",1429437642444
java.specification.vendor,sysinfo,,,"Oracle Corporation",1429437642444
java.specification.version,sysinfo,,,"1.8",1429437642444
java.vendor,sysinfo,,,"Oracle Corporation",1429437642444
java.version,sysinfo,,,"1.8.0_40",1429437642444
java.vm.info,sysinfo,,,"mixed mode",1429437642444
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429437642444
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429437642444
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1429437642444
java.vm.specification.version,sysinfo,,,"1.8",1429437642444
java.vm.vendor,sysinfo,,,"Oracle Corporation",1429437642444
java.vm.version,sysinfo,,,"25.40-b25",1429437642444
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1429437642490
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1429437642510
